Descriptor_Name,R2_Score
SlogP_VSA_ALL_ind,0.6932774090605329
PEOE_VSA_ALL_ind,0.6657779176774385
BertzCT,0.6461781104210916
AUTOCORR2D,0.6209567798850382
SMR_VSA_ALL_IND,0.6126158662516006
VSA_EState6,0.6033505573214437
AUTOCORR3D,0.5976289330303387
ChiNv_,0.5959202411080813
SlogP_VSA6,0.5936896840911661
VSA_EState_ALL_ind,0.5896639070245728
SMR_VSA7,0.5893685809840603
MQNs_,0.5831519628444344
Kappa_all_sum,0.5826154826500806
NumValenceElectrons,0.5733956835292384
Kappa2,0.5704946289808124
CalcNumAmideBonds,0.5694500466664392
GETAWAY,0.5639005255845584
SMR_VSA_ALL_SUM,0.5627749254659318
SlogP_VSA_ALL_sum,0.5613459525877619
Chi3n,0.5604299327146267
PEOE_VSA7,0.5602312055586994
CalcLabuteASA,0.5507278633211845
NumRotatableBonds,0.5471938768888549
Ipc,0.5440763587744261
RadiusOfGyration,0.5415243675621164
NumHAcceptors,0.5376862167657467
Chi3v,0.5351699379053161
MolMR,0.5331172810540363
Chi1n,0.5317304713717272
Eccentricity,0.5288245294982115
Kappa_all_ind,0.5286771663780887
PMI3,0.5284293585396933
MolLogP,0.5273491419782461
SMR_VSA1,0.5254975698273806
Chi0,0.5239175757439709
Chi2n,0.5232678503118537
HeavyAtomCount,0.5227433734775392
TPSA,0.5204670717067972
Chi4n,0.5177064040805798
NumAromaticRings,0.5175740767198876
PBF,0.517480815809417
Chi0n,0.5160607967488269
VSA_EState7,0.5159675934690406
Chi_ALL_sum,0.5152196963421072
